16 1000 8037
14 22 -1.567600e+02 -3.381400e+02
0 23 -4.335900e+02 4.062700e+02
1 23 -7.928003e+01 5.217400e+02
2 23 -7.237600e+02 1.452100e+02
5 23 -2.913000e+01 -2.471400e+02
7 23 -6.527900e+02 4.227100e+02
8 23 -5.123100e+02 9.954999e+01
10 23 -6.613000e+02 5.869200e+02
11 23 -2.364000e+02 -3.480900e+02
13 23 -1.546000e+02 7.046997e+01
14 23 -1.115200e+02 -3.399600e+02
0 24 -5.171400e+02 3.709500e+02
1 24 -1.664300e+02 5.075700e+02
5 24 -1.168500e+02 -2.821500e+02
7 24 -7.365900e+02 3.748800e+02
8 24 -5.890700e+02 6.162000e+01
10 24 -7.601400e+02 5.362900e+02
11 24 -3.112400e+02 -3.771000e+02
13 24 -2.233400e+02 3.629999e+01
14 24 -1.986000e+02 -3.778700e+02
15 24 -7.887000e+02 5.784900e+02
0 25 -4.289100e+02 4.224400e+02
1 25 -7.135999e+01 5.363700e+02
2 25 -7.189300e+02 1.660800e+02
4 25 3.250000e+00 -1.125400e+02
5 25 -2.232001e+01 -2.294600e+02
7 25 -6.505400e+02 4.405200e+02
8 25 -5.083300e+02 1.163100e+02
10 25 -6.577600e+02 6.075100e+02
11 25 -2.316100e+02 -3.341900e+02
12 25 -7.809300e+02 3.521600e+02
13 25 -1.507800e+02 8.448001e+01
14 25 -1.054500e+02 -3.228700e+02
0 26 -5.069500e+02 4.007100e+02
1 26 -1.502500e+02 5.334800e+02
5 26 -1.021000e+02 -2.507300e+02
7 26 -7.299800e+02 4.080800e+02
8 26 -5.790900e+02 9.237000e+01
10 26 -7.527500e+02 5.746400e+02
11 26 -3.004900e+02 -3.519500e+02
13 26 -2.141300e+02 6.309003e+01
14 26 -1.845200e+02 -3.455300e+02
0 27 -4.478900e+02 3.609900e+02
1 27 -1.046800e+02 4.822400e+02
5 27 -4.701001e+01 -2.956700e+02
7 27 -6.602400e+02 3.726700e+02
10 27 -6.716700e+02 5.292300e+02
11 27 -2.528500e+02 -3.869000e+02
12 27 -7.925600e+02 2.724600e+02
13 27 -1.660900e+02 3.047998e+01
15 27 -6.895500e+02 5.734000e+02
0 28 -3.717700e+02 3.349400e+02
1 28 -3.633002e+01 4.384600e+02
4 28 -5.022998e+01 -1.328300e+02
5 28 2.313000e+01 -3.257800e+02
7 28 -5.778600e+02 3.534800e+02
10 28 -5.736700e+02 5.032000e+02
11 28 -1.857300e+02 -4.123600e+02
13 28 -1.072800e+02 1.037000e+01
14 28 -5.821002e+01 -4.180100e+02
15 28 -5.771200e+02 5.461800e+02
0 29 2.929399e+02 -2.407300e+02
1 29 3.787000e+02 -3.008300e+02
12 29 3.769700e+02 -1.269300e+02
15 29 3.971500e+02 -1.510400e+02
0 30 -2.287500e+02 4.542400e+02
1 30 1.322000e+02 5.195400e+02
2 30 -5.090100e+02 2.041600e+02
4 30 4.530029e+00 -2.236600e+02
8 30 -3.386600e+02 1.507000e+02
11 30 -5.545001e+01 -3.074400e+02
12 30 -5.499200e+02 4.199100e+02
14 30 9.203003e+01 -2.891900e+02
0 31 -4.568500e+02 3.491600e+02
1 31 -1.144900e+02 4.727700e+02
4 31 -3.435999e+01 -8.971997e+01
7 31 -6.686900e+02 3.585800e+02
8 31 -5.319300e+02 4.114999e+01
11 31 -2.600300e+02 -3.975300e+02
12 31 -8.016400e+02 2.550200e+02
15 31 -6.988700e+02 5.560200e+02
0 32 -3.717600e+02 3.534700e+02
1 32 -3.197998e+01 4.563500e+02
5 32 2.556000e+01 -3.052100e+02
7 32 -5.805700e+02 3.736500e+02
8 32 -4.570300e+02 4.829999e+01
11 32 -1.844300e+02 -3.952500e+02
12 32 -7.000700e+02 2.734700e+02
13 32 -1.064700e+02 2.695001e+01
14 32 -5.603003e+01 -3.973200e+02
15 32 -5.806100e+02 5.728400e+02
0 33 -3.686800e+02 4.200900e+02
1 33 -1.358002e+01 5.199100e+02
2 33 -6.536800e+02 1.625900e+02
7 33 -5.868600e+02 4.445900e+02
14 33 -4.654999e+01 -3.255900e+02
0 34 -4.324200e+02 4.189200e+02
1 34 -7.521002e+01 5.340000e+02
2 34 -7.222900e+02 1.626000e+02
7 34 -6.535700e+02 4.367300e+02
10 34 -6.620400e+02 6.029000e+02
14 34 -1.089800e+02 -3.260300e+02
0 35 -3.240900e+02 3.997800e+02
1 35 2.503003e+01 4.896100e+02
2 35 -6.056300e+02 1.371600e+02
7 35 -5.379100e+02 4.280500e+02
10 35 -5.252000e+02 5.874300e+02
14 35 -5.030029e+00 -3.471700e+02
0 36 -3.227200e+02 4.045700e+02
1 36 2.738000e+01 4.937000e+02
2 36 -6.045500e+02 1.432400e+02
5 36 8.033002e+01 -2.506500e+02
7 36 -5.370200e+02 4.338700e+02
8 36 -4.159600e+02 1.003900e+02
10 36 -5.240400e+02 5.931200e+02
11 36 -1.395000e+02 -3.507100e+02
14 36 -3.229980e+00 -3.421200e+02
0 37 -4.512100e+02 2.949200e+02
1 37 -1.196900e+02 4.192700e+02
7 37 -6.570100e+02 2.996800e+02
12 37 -7.891500e+02 1.802900e+02
15 37 -6.809600e+02 4.797900e+02
0 38 -5.367500e+02 4.331500e+02
1 38 -1.709100e+02 5.708900e+02
5 38 -1.264100e+02 -2.160500e+02
7 38 -7.673700e+02 4.398200e+02
10 38 -7.968700e+02 6.137000e+02
14 38 -2.089200e+02 -3.116900e+02
0 39 -3.572000e+02 4.869300e+02
1 39 1.285999e+01 5.821700e+02
2 39 -6.419200e+02 2.459500e+02
5 39 5.509003e+01 -1.631800e+02
12 39 -7.054500e+02 4.434100e+02
0 40 -1.078000e+02 5.097500e+02
1 40 2.678101e+02 5.456900e+02
2 40 -3.932500e+02 2.712600e+02
3 40 -5.205600e+02 -5.933002e+01
5 40 2.997200e+02 -1.402300e+02
7 40 -3.341000e+02 5.671100e+02
8 40 -2.438100e+02 2.049600e+02
11 40 5.104999e+01 -2.584500e+02
12 40 -4.236200e+02 5.055200e+02
0 41 2.109985e+00 5.495000e+02
1 41 3.916100e+02 5.594600e+02
14 41 3.156400e+02 -1.853600e+02
0 42 1.487500e+02 5.630600e+02
1 42 5.527100e+02 5.382800e+02
2 42 -1.632200e+02 3.308500e+02
3 42 -2.981300e+02 -3.320007e+00
4 42 4.272998e+01 -4.577200e+02
5 42 5.509000e+02 -8.103003e+01
6 42 -3.278400e+02 6.322900e+02
9 42 -2.930800e+02 3.564300e+02
11 42 2.764200e+02 -2.035800e+02
12 42 -1.582800e+02 6.020600e+02
13 42 3.058700e+02 2.321500e+02
14 42 4.550200e+02 -1.650300e+02
0 43 -1.188500e+02 5.298700e+02
1 43 2.615601e+02 5.686500e+02
2 43 -4.051700e+02 2.946100e+02
5 43 2.900300e+02 -1.193800e+02
7 43 -3.479300e+02 5.869700e+02
12 43 -4.394600e+02 5.283000e+02
0 44 -2.036300e+02 5.136900e+02
1 44 1.714600e+02 5.725600e+02
2 44 -4.865400e+02 2.763000e+02
3 44 -6.126800e+02 -5.227002e+01
5 44 2.067900e+02 -1.365200e+02
7 44 -4.308400e+02 5.614800e+02
11 44 -3.287000e+01 -2.564500e+02
12 44 -5.319800e+02 4.973900e+02
0 45 7.131000e+01 5.701300e+02
1 45 4.704000e+02 5.640200e+02
2 45 -2.320500e+02 3.384900e+02
6 45 -4.131000e+02 6.261000e+02
9 45 -3.520700e+02 3.614200e+02
12 45 -2.403100e+02 6.003400e+02
14 45 3.809399e+02 -1.618800e+02
0 46 1.764301e+02 -3.612000e+01
1 46 3.201801e+02 -5.872998e+01
3 46 2.438500e+02 -2.726500e+02
4 46 -3.235900e+02 -5.561801e+02
6 46 1.748600e+02 3.790997e+01
7 46 9.814001e+01 1.081400e+02
8 46 3.133700e+02 -2.066000e+01
10 46 1.146800e+02 1.174400e+02
12 46 1.953900e+02 8.467999e+01
13 46 5.342000e+02 -2.373600e+02
15 46 2.092900e+02 1.120700e+02
0 47 9.095001e+01 9.173999e+01
1 47 2.778500e+02 9.273001e+01
5 47 7.376600e+02 -5.687000e+02
10 47 3.119995e+00 2.566800e+02
12 47 5.871997e+01 1.968000e+02
13 47 4.489900e+02 -1.384800e+02
15 47 7.690997e+01 2.743000e+02
0 48 -9.142999e+01 1.057600e+02
1 48 1.259600e+02 1.531000e+02
3 48 -1.718700e+02 -2.953600e+02
5 48 4.640300e+02 -5.629301e+02
6 48 -2.580300e+02 7.590997e+01
7 48 -2.144800e+02 1.899300e+02
9 48 -1.824600e+02 9.945999e+01
10 48 -2.115500e+02 2.552300e+02
12 48 -2.078700e+02 1.282100e+02
15 48 -1.678100e+02 2.680300e+02
0 49 5.475000e+02 2.152500e+02
1 49 8.426700e+02 7.370001e+01
3 49 2.869200e+02 -1.493700e+02
7 49 3.703900e+02 3.780900e+02
8 49 4.088600e+02 1.119200e+02
9 49 2.248000e+02 2.411600e+02
10 49 5.248199e+02 4.521400e+02
13 49 7.440800e+02 -1.517999e+01
15 49 7.092900e+02 5.130500e+02
0 50 2.672998e+01 1.419700e+02
1 50 2.359399e+02 1.589300e+02
3 50 1.299988e+00 -1.743000e+02
4 50 -1.827600e+02 -4.297900e+02
5 50 6.362100e+02 -5.120300e+02
7 50 -8.865997e+01 2.542000e+02
10 50 -7.759998e+01 3.091700e+02
12 50 -4.788000e+01 2.289800e+02
15 50 -1.600000e+01 3.347100e+02
0 51 2.051200e+02 8.492999e+01
1 51 3.923500e+02 5.275000e+01
3 51 1.980200e+02 -1.731900e+02
6 51 1.469600e+02 1.702300e+02
7 51 1.023100e+02 2.306500e+02
8 51 2.876300e+02 7.006000e+01
10 51 1.341600e+02 2.602300e+02
12 51 1.784900e+02 2.176800e+02
13 51 5.330400e+02 -1.343100e+02
0 52 1.364400e+02 7.383002e+01
1 52 3.163300e+02 6.177002e+01
2 52 2.570699e+02 1.252300e+02
3 52 1.561200e+02 -1.882000e+02
4 52 -2.385800e+02 -5.203500e+02
6 52 8.778003e+01 1.425800e+02
7 52 3.813000e+01 2.088200e+02
8 52 2.448400e+02 5.685001e+01
9 52 9.975000e+01 1.989600e+02
10 52 5.694000e+01 2.410000e+02
12 52 1.123200e+02 1.938300e+02
13 52 4.821000e+02 -1.478800e+02
15 52 1.406899e+02 2.567300e+02
0 53 9.415997e+01 7.465002e+01
1 53 2.745400e+02 7.496002e+01
2 53 2.158000e+02 1.186700e+02
3 53 1.176500e+02 -1.953500e+02
4 53 -2.327400e+02 -4.868101e+02
6 53 4.244000e+01 1.312000e+02
7 53 -3.820007e+00 2.030600e+02
8 53 2.099300e+02 5.120999e+01
10 53 8.090027e+00 2.374000e+02
12 53 6.470001e+01 1.841200e+02
13 53 4.458800e+02 -1.504200e+02
15 53 8.301001e+01 2.520500e+02
0 54 2.094600e+02 4.755000e+02
1 54 5.947700e+02 4.311100e+02
2 54 -9.934998e+01 2.337300e+02
5 54 6.126899e+02 -1.718700e+02
6 54 -2.449200e+02 5.317200e+02
7 54 -2.227002e+01 5.645100e+02
8 54 -2.030029e+00 1.810500e+02
11 54 3.386700e+02 -2.766800e+02
12 54 -7.845001e+01 5.086100e+02
13 54 3.566000e+02 1.608400e+02
14 54 5.184301e+02 -2.533000e+02
0 55 2.328998e+01 1.258200e+02
1 55 2.264301e+02 1.442700e+02
2 55 1.037000e+02 1.328300e+02
3 55 9.039978e+00 -1.848000e+02
5 55 6.370400e+02 -5.291700e+02
6 55 -7.306000e+01 1.592400e+02
7 55 -8.800000e+01 2.388900e+02
10 55 -7.959003e+01 2.902800e+02
12 55 -4.472998e+01 2.127300e+02
13 55 3.686300e+02 -1.156700e+02
15 55 -1.884998e+01 3.122400e+02
0 56 5.720001e+01 5.653998e+01
1 56 2.327500e+02 6.775000e+01
2 56 1.860400e+02 9.404999e+01
3 56 9.217999e+01 -2.191300e+02
5 56 7.025699e+02 -6.043900e+02
6 56 9.239990e+00 9.994000e+01
7 56 -3.756000e+01 1.791300e+02
8 56 1.844500e+02 3.075000e+01
10 56 -3.309998e+01 2.121200e+02
12 56 2.802002e+01 1.539500e+02
13 56 4.164399e+02 -1.688600e+02
15 56 3.517999e+01 2.220200e+02
0 57 2.094600e+02 4.755000e+02
1 57 5.947700e+02 4.311100e+02
2 57 -9.934998e+01 2.337300e+02
4 57 -1.421002e+01 -4.918500e+02
5 57 6.126899e+02 -1.718700e+02
6 57 -2.449200e+02 5.317200e+02
7 57 -2.227002e+01 5.645100e+02
8 57 -2.030029e+00 1.810500e+02
11 57 3.386700e+02 -2.766800e+02
12 57 -7.845001e+01 5.086100e+02
13 57 3.566000e+02 1.608400e+02
14 57 5.184301e+02 -2.533000e+02
0 58 4.862000e+02 3.568500e+02
1 58 8.373101e+02 2.377200e+02
2 58 2.756100e+02 2.385700e+02
3 58 1.350000e+02 -8.741998e+01
6 58 1.790800e+02 4.828700e+02
7 58 2.788000e+02 4.965800e+02
10 58 4.415699e+02 6.150400e+02
12 58 2.906300e+02 4.753400e+02
0 59 2.060300e+02 4.365100e+02
1 59 5.802000e+02 3.907600e+02
2 59 -9.892999e+01 1.913000e+02
3 59 -2.388700e+02 -1.400200e+02
5 59 6.091000e+02 -2.132700e+02
7 59 -2.075000e+01 5.244800e+02
8 59 -1.270020e+00 1.467800e+02
9 59 -2.323400e+02 2.365900e+02
11 59 3.393500e+02 -3.115000e+02
12 59 -7.519000e+01 4.638100e+02
13 59 3.544900e+02 1.278800e+02
14 59 5.164200e+02 -2.941500e+02
0 60 -4.165002e+01 5.609985e+00
1 60 1.265400e+02 4.542999e+01
2 60 8.404999e+01 2.940002e+00
3 60 -1.890015e+00 -3.091900e+02
7 60 -1.315700e+02 1.094200e+02
8 60 9.983002e+01 -4.260999e+01
15 60 -9.090997e+01 1.391400e+02
0 61 2.959003e+01 4.290200e+02
1 61 3.899600e+02 4.292200e+02
2 61 -2.568600e+02 1.787500e+02
3 61 -3.916600e+02 -1.522400e+02
4 61 -2.870001e+01 -3.721900e+02
5 61 4.313900e+02 -2.235600e+02
7 61 -1.890500e+02 4.984500e+02
8 61 -1.324900e+02 1.351900e+02
12 61 -2.605200e+02 4.304000e+02
13 61 2.142400e+02 1.112900e+02
14 61 3.425699e+02 -3.088400e+02
0 62 5.325100e+02 2.077600e+02
1 62 8.242900e+02 6.931000e+01
3 62 2.726200e+02 -1.621300e+02
8 62 3.960000e+02 1.018100e+02
9 62 2.106400e+02 2.263700e+02
10 62 5.073800e+02 4.407300e+02
15 62 6.888199e+02 4.992900e+02
0 63 4.494000e+01 -1.564200e+02
1 63 1.549000e+02 -1.363900e+02
2 63 2.607600e+02 -1.221500e+02
3 63 1.751700e+02 -4.234200e+02
4 63 -3.924200e+02 -4.464200e+02
6 63 7.772998e+01 -1.406899e+02
7 63 -1.116998e+01 -3.394000e+01
8 63 2.376300e+02 -1.508900e+02
10 63 -2.477002e+01 -3.517999e+01
12 63 8.328003e+01 -9.306000e+01
15 63 4.648999e+01 -6.878998e+01
0 64 -9.878998e+01 -2.223200e+02
1 64 8.969971e+00 -1.575900e+02
4 64 -4.192700e+02 -3.207200e+02
7 64 -1.524300e+02 -1.325700e+02
8 64 9.772998e+01 -2.745200e+02
9 64 -1.782001e+01 -1.455200e+02
10 64 -1.838900e+02 -1.263500e+02
12 64 -8.770001e+01 -2.365600e+02
13 64 2.947800e+02 -4.331300e+02
15 64 -1.360200e+02 -1.772400e+02
0 65 1.747400e+02 -2.422600e+02
1 65 2.532100e+02 -2.607000e+02
2 65 4.303300e+02 -1.697100e+02
3 65 3.396500e+02 -4.645300e+02
4 65 -4.870300e+02 -5.583000e+02
6 65 2.523700e+02 -1.877200e+02
7 65 1.332900e+02 -9.427002e+01
8 65 3.775100e+02 -1.936000e+02
9 65 2.568400e+02 -3.806000e+01
10 65 1.335500e+02 -1.203600e+02
12 65 2.635100e+02 -1.501700e+02
15 65 2.334200e+02 -1.681500e+02
0 66 1.431600e+02 6.653998e+01
1 66 3.201100e+02 5.272998e+01
2 66 2.679800e+02 1.219500e+02
3 66 1.660500e+02 -1.911600e+02
4 66 -2.442400e+02 -5.262800e+02
6 66 9.925000e+01 1.375200e+02
7 66 4.646002e+01 2.031500e+02
8 66 2.531600e+02 5.389001e+01
9 66 1.083700e+02 1.962100e+02
10 66 6.596997e+01 2.332300e+02
13 66 4.899100e+02 -1.530700e+02
0 67 6.596002e+01 -8.371997e+01
1 67 1.980900e+02 -7.198999e+01
2 67 2.506200e+02 -4.296997e+01
3 67 1.602700e+02 -3.486300e+02
4 67 -3.414500e+02 -4.635500e+02
6 67 7.146002e+01 -5.269000e+01
7 67 -3.729980e+00 4.187000e+01
8 67 2.328400e+02 -8.434003e+01
10 67 -8.080017e+00 5.087000e+01
12 67 8.314001e+01 -3.030029e+00
13 67 4.426700e+02 -2.882900e+02
0 68 7.303003e+01 -1.236000e+02
1 68 1.933500e+02 -1.131800e+02
3 68 1.819900e+02 -3.883000e+02
7 68 9.419983e+00 2.760010e+00
10 68 3.859985e+00 5.250000e+00
13 68 4.529200e+02 -3.235100e+02
15 68 7.971997e+01 -2.125000e+01
0 69 5.801700e+02 1.987400e+02
1 69 8.714900e+02 4.598999e+01
2 69 4.654600e+02 1.690500e+02
6 69 3.785400e+02 3.497600e+02
7 69 4.049100e+02 3.676600e+02
8 69 4.423500e+02 1.114100e+02
9 69 2.583900e+02 2.396100e+02
12 69 4.648900e+02 3.587100e+02
13 69 7.781500e+02 -2.587000e+01
0 70 1.219800e+02 -8.892999e+01
1 70 2.503800e+02 -9.445001e+01
2 70 3.099600e+02 -3.465997e+01
3 70 2.155601e+02 -3.370200e+02
4 70 -3.543000e+02 -5.099200e+02
6 70 1.348500e+02 -4.078003e+01
7 70 5.313000e+01 4.640997e+01
8 70 2.824500e+02 -7.783002e+01
10 70 5.728998e+01 5.051001e+01
12 70 1.498200e+02 5.809998e+00
13 70 4.931801e+02 -2.885300e+02
15 70 1.422000e+02 3.288000e+01
0 71 6.522500e+02 -5.717999e+01
1 71 8.661000e+02 -2.480700e+02
2 71 6.151000e+02 -5.621997e+01
3 71 4.849600e+02 -3.596800e+02
7 71 5.101200e+02 1.345800e+02
8 71 5.629600e+02 -7.734998e+01
10 71 6.687900e+02 1.433300e+02
0 72 3.897998e+01 -9.863000e+01
1 72 1.688199e+02 -7.881000e+01
3 72 1.358100e+02 -3.759000e+02
6 72 4.340997e+01 -8.114001e+01
7 72 -2.895001e+01 2.152002e+01
8 72 2.102200e+02 -1.069100e+02
9 72 8.214001e+01 3.466998e+01
10 72 -3.778998e+01 3.092999e+01
12 72 5.390997e+01 -3.100000e+01
13 72 4.186300e+02 -3.044400e+02
15 72 3.117999e+01 8.489990e+00
0 73 2.075300e+02 1.613000e+02
1 73 4.285601e+02 1.255400e+02
2 73 2.435300e+02 1.706300e+02
3 73 1.331500e+02 -1.478300e+02
10 73 1.313000e+02 3.507400e+02
13 73 5.082000e+02 -7.570001e+01
14 73 7.201700e+02 -5.638000e+02
15 73 2.310699e+02 3.869100e+02
0 74 2.095400e+02 3.241900e+02
1 74 5.436300e+02 2.759900e+02
7 74 4.840027e+00 4.178000e+02
13 74 3.836700e+02 3.292999e+01
14 74 5.553199e+02 -4.150100e+02
0 75 1.646600e+02 -1.096000e+02
1 75 2.880900e+02 -1.284900e+02
3 75 2.568300e+02 -3.519400e+02
6 75 1.827400e+02 -5.060999e+01
7 75 9.727002e+01 3.253998e+01
8 75 3.198900e+02 -9.028998e+01
10 75 1.086600e+02 3.141998e+01
13 75 5.305900e+02 -3.037100e+02
15 75 2.032000e+02 1.056000e+01
0 76 3.957001e+01 -9.128003e+01
1 76 1.714500e+02 -7.182001e+01
2 76 2.226899e+02 -6.179999e+01
3 76 1.347200e+02 -3.671100e+02
6 76 4.233002e+01 -7.196997e+01
7 76 -2.952002e+01 2.909998e+01
8 76 2.095000e+02 -9.896002e+01
9 76 8.126001e+01 4.228998e+01
10 76 -3.801001e+01 3.941998e+01
13 76 4.187500e+02 -2.978500e+02
15 76 3.091998e+01 1.852002e+01
0 77 3.738000e+01 -1.083400e+02
1 77 1.643700e+02 -8.750000e+01
2 77 2.238000e+02 -8.284998e+01
3 77 1.365900e+02 -3.869800e+02
6 77 4.321002e+01 -9.517999e+01
7 77 -2.981000e+01 1.145001e+01
10 77 -3.771002e+01 1.984003e+01
12 77 5.334003e+01 -4.489001e+01
15 77 2.959998e+01 -4.690002e+00
0 78 2.371300e+02 5.222300e+02
1 78 6.381000e+02 4.729100e+02
3 78 -2.219600e+02 -4.769000e+01
